resort,city,state,peak_elevation,base_elevation,vertical_drop,skiable_acreage,total_trails,total_lifts,avg_annual_snowfall,lift_ticket
Ski Bromont,Bromont,Quebec,1854,590,1264,450,141,9,190,54
Apex Mountain Resort,Penticton,British Columbia,7197,5197,2000,1112,79,4,236,65
Canyon Ski Area,Red Deer,Alberta,2950,2412,538,80,23,6,45,35
Fernie Alpine Resort,Fernie,British Columbia,7000,3450,3550,2500,142,10,360,90
Marble Mountain Ski Resort,Steady Brook,Newfoundland and Labrador,1791,33,1759,230,40,5,192,34
White Hills Ski Resort,Clarenville,Newfoundland and Labrador,1227,482,745,55,27,2,100,38
Ski Wentworth,Wentworth,Nova Scotia,990,715,815,150,20,3,150,35
Mount Sima,Whitehorse,Yukon,3900,2857,1043,92,15,3,2057,37
Shames Mountain,Terrace,British Columbia,3900,2300,1600,225,28,3,480,43
Castle Mountain Resort [1],Pincher Creek,Alberta,7463,4630,2833,3592,94,6,354,71
Bolton Valley [2],Waterbury,Vermont,3150,2100,1704,300,71,6,312,69
Cooper [3],Leadville,Colorado,11700,10500,1200,470,60,5,260,70
Grand Targhee Resort [4],Alta,Wyoming,10121,7851,2270,2602,99,5,500,98
Stratton Mountain Resort [5],Winhall,Vermont,3875,1872,2003,670,99,11,171,125
Mt. Rose Ski Tahoe,Reno,Nevada,9700,8260,1800,1200,60,8,396,135
Soldier Mountain,Fairfield,Idaho,7177,5756,1400,1180,36,2,2057,45
Pomerelle Mountain Resort,Albion,Idaho,9000,8000,1000,500,24,2,500,45
Schweitzer,Sandpoint,Idaho,6400,4000,2400,2900,92,7,300,86
Brundage Mountain,McCall,Idaho,7803,5882,1921,1920,46,5,320,73
Bogus Basin,Boise,Idaho,7582,5800,1800,2600,78,7,200,64
Sun Valley,Sun Valley,Idaho,9150,5750,3400,2563,121,18,22021,133
Panorama Mountain Resort,Invermere,British Columbia,7792,3773,4019,2847,120,10,196,92
Whitefish Mountain Resort,Kalispell,Montana,6817,4464,2353,3000,105,14,300,83
Arizona Snowbowl,Flagstaff,Arizona,11500,9200,2300,777,40,7,260,99
Telluride Ski Resort,Telluride,Colorado,13150,8725,4425,2000,147,18,309,149
Arapahoe Basin,Keystone,Colorado,13050,10520,2530,1428,147,9,350,109
Pajarito Mountain Ski Area [6],Los Alamos,New Mexico,10440,9000,1440,750,44,5,163,59
Taos Ski Valley [7],Taos,New Mexico,12481,9200,3281,1294,110,14,300,110
Ski Santa Fe [8],Santa Fe,New Mexico,12075,10350,1725,660,83,7,225,84
Big Sky Resort,Bozeman,Montana,11166,6800,4350,5800,317,36,400,170
Beartooth Basin Summer Ski Area,Red Lodge,Montana,10900,9900,1000,600,9,2,2057,45
Jackson Hole Mountain Resort,Teton Village,Wyoming,10450,6311,4139,2500,133,15,459,140
Loveland Ski Area,Georgetown,Colorado,13010,10800,2210,1800,94,11,422,89
