name,state,url,location,summit_elevation,base_elevation,vertical_drop,skiable_area,number_of_trails,number_of_lifts,annual_snowfall,website,coordinates,owner_operator,opening_year,status
Mohawk Mountain Ski Area,Connecticut,https://en.wikipedia.org/wiki/Mohawk_Mountain_Ski_Area,"Cornwall , Litchfield County, Connecticut , United States",,,650 ft,112 acres (0.175 km²),27,,,https://www.mohawkmtn.com,41°50′12″N 73°18′48″W ﻿ / ﻿ 41.83675°N 73.31342°W ﻿ / 41.83675; -73.31342,,,
Mount Southington,Connecticut,https://en.wikipedia.org/wiki/Mount_Southington,"Mount Southington, Plantsville, Connecticut",525 feet (160 m),100 feet (30 m),425 feet (130 m),51 acres (0.21 km 2 ),14,,40 inches (100 cm),http://www.mountsouthington.com,41°34′56″N 72°55′33″W ﻿ / ﻿ 41.58235°N 72.92587°W ﻿ / 41.58235; -72.92587,,,Operating
Powder Ridge Ski Area,Connecticut,https://en.wikipedia.org/wiki/Powder_Ridge_Ski_Area,Besek Mountain,,,550 ft (170 m),80 acres (32 ha),20,,60 inches (150 cm),http://powderridgepark.com/,41°30′07″N 72°44′14″W ﻿ / ﻿ 41.502006°N 72.737172°W ﻿ / 41.502006; -72.737172,,,
Ski Sundown,Connecticut,https://en.wikipedia.org/wiki/Ski_Sundown,"New Hartford , Connecticut , US",,,625 ft (191 m),,16,,,http://www.skisundown.com/,41.88407°N 72.94523°W,,,
Baker Mountain,Maine,https://en.wikipedia.org/wiki/Baker_Mountain_(ski_area),"Moscow , Maine , United States",767 feet (234 m),540 feet (160 m),,,5,,,,45°5′5″N 69°54′20″W ﻿ / ﻿ 45.08472°N 69.90556°W ﻿ / 45.08472; -69.90556,,,
Big Rock,Maine,https://en.wikipedia.org/wiki/Big_Rock_(ski_resort),"Mars Hill , Maine , United States","1,590 feet (480 m)",670 feet (200 m),,,28,,,http://www.bigrockmaine.com/,46°31′20″N 67°49′40″W ﻿ / ﻿ 46.52222°N 67.82778°W ﻿ / 46.52222; -67.82778,,,
Big Moose,Maine,https://en.wikipedia.org/wiki/Big_Moose_Mountain,"Piscataquis County , Maine , U.S.",,,,,,,,,45°29′03″N 69°42′42″W ﻿ / ﻿ 45.484167°N 69.711667°W ﻿ / 45.484167; -69.711667,,,
Black Mountain of Maine,Maine,https://en.wikipedia.org/wiki/Black_Mountain_of_Maine,"Rumford, Maine , U.S.",,"1,000 ft (300 m)","1,380 ft (420 m)",,46,,,http://www.skiblackmountain.org,44°34′48″N 70°37′3″W ﻿ / ﻿ 44.58000°N 70.61750°W ﻿ / 44.58000; -70.61750,,,Operating (seasonally)
Camden Snow Bowl,Maine,https://en.wikipedia.org/wiki/Camden_Snow_Bowl,Ragged Mountain,"1,070 feet (330 m)",220 feet (67 m),850 feet (260 m),105 acres (42 ha),15,,"70 inches (1,800 mm)",https://camdensnowbowl.com/,44°13′02″N 69°08′05″W ﻿ / ﻿ 44.217216°N 69.134667°W ﻿ / 44.217216; -69.134667,,,
Eaton Mountain,Maine,https://en.wikipedia.org/wiki/Eaton_Mountain,"Skowhegan , Maine , United States",840 feet (260 m),220 feet (67 m),,,18,,,,44°46′5″N 69°37′10″W ﻿ / ﻿ 44.76806°N 69.61944°W ﻿ / 44.76806; -69.61944,,,
Hermon Mountain,Maine,https://en.wikipedia.org/w/index.php?title=Hermon_Mountain_(ski_area)&action=edit&redlink=1,,,,,,,,,,,,,
Lonesome Pine Trails,Maine,https://en.wikipedia.org/wiki/Lonesome_Pine_Trails,,,,,,,,,,,,,
Lost Valley,Maine,https://en.wikipedia.org/wiki/Lost_Valley_Ski_Area,"200 Lost Valley Rd. Auburn , Maine , U.S.",480 ft (146 m),240 ft (73 m),240 ft (73 m),45 acres (18 ha),31 (Including glades) - 22% beginner - 38% intermediate - 28% advanced - 12% expert,,67 inches (170 cm) to 71 inches (180 cm),https://www.lostvalleyski.com/,44°08′10″N 70°16′52″W ﻿ / ﻿ 44.136°N 70.281°W ﻿ / 44.136; -70.281,,1981/12/08,Active
Mount Abram,Maine,https://en.wikipedia.org/wiki/Mount_Abram_(ski_resort),"Greenwood , Maine , United States","1,990 feet (610 m)",940 feet (290 m),,250 acres (100 ha) trail 650 acres (260 ha) total,44,,,http://www.mtabram.com,44°22′45″N 70°42′25″W ﻿ / ﻿ 44.37917°N 70.70694°W ﻿ / 44.37917; -70.70694,,,
Mount Jefferson Ski Area,Maine,https://en.wikipedia.org/w/index.php?title=Mount_Jefferson_Ski_Area&action=edit&redlink=1,,,,,,,,,,,,,
Pinnacle Ski Club,Maine,,,,,,,,,,,,,,
Pleasant Mountain,Maine,https://en.wikipedia.org/wiki/Pleasant_Mountain_Ski_Area,"Bridgton , Maine, US",,,"1,300 ft (400 m)",,44,,,http://www.pleasantmountain.com,44°3′30″N 70°48′55″W ﻿ / ﻿ 44.05833°N 70.81528°W ﻿ / 44.05833; -70.81528,Boyne Resorts,,Operating
Powderhouse Hill,Maine,https://en.wikipedia.org/wiki/Powderhouse_Hill_(ski_area),"South Berwick , Maine , United States",240 feet (73 m),120 feet (37 m),,,3,,,http://www.powderhousehill.com/,43°14′13″N 70°48′8″W ﻿ / ﻿ 43.23694°N 70.80222°W ﻿ / 43.23694; -70.80222,,,
Quoggy Jo,Maine,https://en.wikipedia.org/w/index.php?title=Quoggy_Jo&action=edit&redlink=1,,,,,,,,,,,,,
Saddleback Maine,Maine,https://en.wikipedia.org/wiki/Saddleback_Maine_(ski_resort),"Sandy River Plantation, Maine , U.S.","4,120 feet (1,260 m)","2,120 feet (650 m)","2,000 feet (610 m)",600 acres (2.4 km 2 ),68,,"225 inches (5,700 mm) (annual)",http://www.saddlebackmaine.com,44°56′12″N 070°30′11″W ﻿ / ﻿ 44.93667°N 70.50306°W ﻿ / 44.93667; -70.50306,,,Operating
Sugarloaf,Maine,https://en.wikipedia.org/wiki/Sugarloaf_(ski_resort),"Carrabassett Valley , Franklin County , Maine United States","4,237 feet (1,291 m)","1,417 feet (432 m)","2,820 feet (860 m)","1,360 acres (550 ha)",176,,200 inches (510 cm) (10 year average),http://www.sugarloaf.com/,45°01′53″N 70°18′47″W ﻿ / ﻿ 45.03139°N 70.31306°W ﻿ / 45.03139; -70.31306,Boyne Resorts,,Operating
Sunday River,Maine,https://en.wikipedia.org/wiki/Sunday_River_(Maine),"Newry , Maine , U.S.","3,140 ft (957 m)",800 ft (244 m),"2,340 ft (713 m)",870 acres (3.5 km 2 ),135 33% Beginner 36% Intermediate 19% Advanced 12% Expert,,155 in (390 cm),http://www.sundayriver.com/,44°28′24″N 70°51′25″W ﻿ / ﻿ 44.4734°N 70.8569°W ﻿ / 44.4734; -70.8569,Boyne Resorts,,Operating
